county_fips,county_nm,county_pop,total_bg_pop,pop_11,pop_12,pop_13,pop_21,pop_22,pop_23,pop_31,pop_32,pop_33,pop_41,pop_42,pop_43,urban_suburban_pop,rural_pop,urban_suburban_perc,rural_perc,metro_fips,metro_nm,city_name,city_pop,city_contains_small_urban,city_contains_mid_sized_urban,city_contains_large_urban,MSA_large_urban,MSA_mid_sized_urban,locale_type
5133,"Sevier County, Arkansas",15632,15796.999993433,,,,,,,,,4071.25625423591,2587.16250436634,7212.65208927654,1925.9291455542,0,11725.7437391971,0,0.742276618603002,,,,,,,,0,0,Rural
5135,"Sharp County, Arkansas",17968,17597,,,,,,,,,,,1494.05608824079,16102.9439117592,0,17597,0,1,,,,,,,,0,0,Rural
5137,"Stone County, Arkansas",12671,12474.0000000045,,,,,,,,,,,7.4148396205637,12466.5851603839,0,12474.0000000045,0,1,,,,,,,,0,0,Rural
5139,"Union County, Arkansas",37397,38367.9999873229,,,,,,,,,14777.3851891506,8374.78680550517,10126.1804515741,5089.64754109304,0,23590.6147981723,0,0.614851303324824,,,,,,,,0,0,Rural
5141,"Van Buren County, Arkansas",16142,15935.9999999992,,,,,,,,,,,3107.51188786133,12828.4881121379,0,15935.9999999992,0,1,,,,,,,,0,0,Rural
5143,"Washington County, Arkansas",261549,251862.998297071,,,150115.738266489,11115.1265358761,,,2305.53186190833,,,66930.3074994043,21396.2941333929,,161230.864802365,88326.6016327972,0.640153043092874,0.350693044353489,22220,"Fayetteville-Springdale-Rogers, AR","Fayetteville city, Arkansas",101680,0,1,0,0,1,Mid-sized urban
5145,"White County, Arkansas",78452,77394.9998925178,,,,,,,3144.33442160881,19201.0239988066,,23317.1429639452,27072.3295605322,4660.16894762503,0,55049.6414721024,0,0.711281627347407,,,,,,,,0,0,Small town
5147,"Woodruff County, Arkansas",5964,6157,,,,,,,,,,,,6157,0,6157,0,1,,,,,,,,0,0,Rural
5149,"Yell County, Arkansas",20044,20195.0000067323,,,,,,,,,1231.49711839185,3454.46454914996,5366.36400374641,10142.6743354441,0,18963.5028883405,0,0.939019702006373,,,,,,,,0,0,Rural
6001,"Alameda County, California",1622188,1642295.48733316,434391.286949402,337887.201760717,143663.381342201,598026.005006247,65568.167955472,,,,,60179.6957406713,2579.74857845378,,1579536.04301404,62759.444319125,0.961785534452733,0.0382144655472669,41860,"San Francisco-Oakland-Fremont, CA","Oakland city, California",436504,0,0,1,1,0,Large urban
6003,"Alpine County, California",1141,1695.00000000423,,,,,,,,,,0.80481251274591,423.403479798966,1270.79170769252,0,1695.00000000423,0,1,,,,,,,,0,0,Rural
6005,"Amador County, California",41811,41028.9999504808,,,,,,,,3474.96414681124,,9807.59034559009,25982.4517922721,1763.99366580739,0,37554.0358036696,0,0.915304683248305,,,,,,,,0,0,Rural
6007,"Butte County, California",207172,209469.999462644,,93094.2998159186,,,7337.95944533347,,4233.77766455487,37068.6272295012,,45437.7510634491,20930.1811439654,1367.40309992111,100432.259261252,67735.3353073356,0.479458917834975,0.323365329073844,17020,"Chico, CA","Chico city, California",101301,0,1,0,0,1,Mid-sized urban
6009,"Calaveras County, California",46565,45994.9999599161,,,,,,,,3232.96249359932,,6752.93831165849,24830.3583120045,11178.7408426538,0,42762.0374663168,0,0.929710566443813,,,,,,,,0,0,Rural
6011,"Colusa County, California",22037,21894.9998183795,,,,,,,,7589.514491283,,3365.15424825491,9300.88336764499,1639.44771119659,0,14305.4853270965,0,0.653367684209247,,,,,,,,0,0,Rural
6013,"Contra Costa County, California",1155025,1158921.60314221,2.86092352074244,41.5216440953186,148287.84295259,893710.3247197,5.99068959445501,,8060.15945633481,,,108506.844768004,306.057988374173,,1042048.5409295,108812.902756379,0.899153608064745,0.093891512990483,41860,"San Francisco-Oakland-Fremont, CA","Concord city, California",122315,0,1,0,1,0,Suburban
6015,"Del Norte County, California",26589,26475.5991181746,,,,,,,,,12712.4257846067,8092.90339541844,3832.72965527689,1837.54028287261,0,13763.1733335679,0,0.519843697290309,,,,,,,,0,0,Rural
6017,"El Dorado County, California",192215,192298.999272279,,,0.242130555755515,53738.1385164612,,,18186.9580319207,21344.5731049737,,62589.1700893357,35686.3006549501,753.616744081856,53738.380647017,99029.0874883677,0.279452211661944,0.514974533737177,40900,"Sacramento-Roseville-Folsom, CA",,,,,,1,0,Suburban
6019,"Fresno County, California",1017162,1012151.98172295,508463.150130315,,,181175.226453714,,,61802.0571256099,50222.9368928831,8680.07053603596,140136.294912868,54264.0456576066,7408.20001391398,689638.376584029,201808.540584388,0.681358520298587,0.199385610292298,23420,"Fresno, CA","Fresno city, California",545716,0,0,1,1,0,Large urban
6021,"Glenn County, California",28129,28622.9999447053,,,,,,,,10490.6206236149,,10558.046012955,6717.78378320804,856.549524927338,0,18132.3793210904,0,0.633489828324041,,,,,,,,0,0,Rural
6023,"Humboldt County, California",133985,131979.148364418,,,,,,,,,74130.7866936204,25770.7093654367,15628.7852472469,16448.8670581143,0,57848.3616707978,0,0.438314403356112,,,,,,,,0,0,Small town
6025,"Imperial County, California",179057,179148.940639992,,,37828.8343249721,,71.6727543791221,20478.4031055098,56483.6933321671,,,36157.1044910308,23604.5906974138,4524.64193451936,58378.910184861,64286.337122964,0.325868017842071,0.358842965486189,20940,"El Centro, CA",,,,,,0,0,Small urban
6027,"Inyo County, California",18527,18802.9992893184,,,,,,,,,5878.95405153091,3935.11289944478,1820.9303993935,7168.00193894917,0,12924.0452377874,0,0.687339558914378,,,,,,,,0,0,Rural
6029,"Kern County, California",913820,910432.991880457,384506.406197785,,,153645.622746731,,,51119.380553231,91026.6080571076,24838.2309598379,118586.001404642,55295.074119311,31415.6678418115,538152.028944516,205296.743365764,0.591094604154215,0.225493523627404,12540,"Bakersfield-Delano, CA","Bakersfield city, California",413381,0,0,1,1,0,Large urban
6031,"Kings County, California",152682,152829.996372203,,,51850.0726878615,,,4109.81456952418,22050.9994743767,26326.8445016722,,35380.89039181,11880.5935613025,1230.78118565627,55959.8872573857,48492.2651387688,0.366157747731018,0.317295467446524,25260,"Hanford-Corcoran, CA","Hanford city, California",59938,1,0,0,0,0,Small urban
6033,"Lake County, California",67878,68139.0000388521,,,,,,,,18023.6118798391,,28804.1162444056,20132.593241489,1178.67867311836,0,50115.388159013,0,0.735487578779228,,,,,,,,0,0,Small town
6035,"Lassen County, California",28861,31176.9998081948,,,,,,,,,3852.32335554135,3191.05333017837,15106.5052836675,9027.1178388076,0,27324.6764526535,0,0.876437008716638,,,,,,,,0,0,Rural
6037,"Los Angeles County, California",9663345,9838062.17323932,4292151.2143736,572562.255045359,304138.054003994,4428333.05298162,26426.9038683207,,0.000180790385204,2708.47585326199,,175269.19362673,36273.3752559502,199.648049686713,9623611.4802729,211742.216932367,0.978201937618391,0.0215227565351569,31080,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles city, California",3820914,0,0,1,1,0,Large urban
6039,"Madera County, California",162858,158789.999449621,0.435437364172299,,,122.15217595359,,69773.5935529555,,8128.04785942844,,38018.1514319017,31835.6442300589,10911.9747619587,69896.1811662733,80765.7704239193,0.440179995015675,0.508632600943762,23420,"Fresno, CA","Madera city, California",68079,1,0,0,1,0,Suburban
6041,"Marin County, California",254407,255023.200417021,,,54327.8405241285,167702.86697846,,,,,,28444.9251077594,4547.5678066727,,222030.707502589,32992.4929144321,0.870629445240739,0.129370554759261,41860,"San Francisco-Oakland-Fremont, CA","San Rafael city, California",59555,1,0,0,1,0,Suburban
